HEFT,CPF,ICRO,STO,Rand
0.0051,0.0086,0.0084,0.0081,0.0081
0.0052,0.0086,0.0085,0.0089,0.0085
0.0052,0.0088,0.0084,0.0084,0.0082
0.0053,0.0089,0.0086,0.0082,0.0082
0.0056,0.0092,0.0092,0.0086,0.0086
0.0054,0.0088,0.0088,0.0083,0.0083
0.0068,0.0116,0.0104,0.0097,0.0098
0.0054,0.0089,0.0086,0.0082,0.0083
0.0052,0.0087,0.0095,0.0089,0.0085
0.0051,0.0086,0.0084,0.0081,0.0081
0.0051,0.0087,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0053,0.0088,0.0087,0.0083,0.0083
0.0052,0.0086,0.0084,0.0081,0.0084
0.0052,0.0086,0.0083,0.0081,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0088,0.0085,0.0081,0.0083
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0086,0.0084,0.0081,0.0082
0.0051,0.0087,0.0083,0.0081,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0057,0.0098,0.0093,0.0087,0.0087
0.0052,0.0087,0.0084,0.0081,0.0082
0.0053,0.0088,0.0085,0.0082,0.0082
0.0071,0.0109,0.0103,0.0102,0.01
0.0052,0.0086,0.0084,0.0081,0.0081
0.0052,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0081
0.0053,0.009,0.009,0.0087,0.0083
0.007,0.0108,0.0113,0.0099,0.0102
0.0055,0.0089,0.0088,0.0085,0.0085
0.0057,0.0095,0.0091,0.0087,0.0092
0.0051,0.0085,0.0085,0.0093,0.0091
0.0063,0.0112,0.0096,0.0095,0.0093
0.0051,0.0086,0.0083,0.008,0.0082
0.0051,0.0087,0.0083,0.008,0.0082
0.0052,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0051,0.0086,0.0084,0.0081,0.0081
0.0051,0.0087,0.0083,0.0081,0.0081
0.0053,0.0088,0.0085,0.0082,0.0083
0.006,0.0107,0.0093,0.009,0.009
0.0052,0.0087,0.0085,0.0082,0.0083
0.0052,0.0088,0.0085,0.0082,0.0082
0.0052,0.0087,0.0085,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0088,0.0087,0.0081,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0051,0.0086,0.0084,0.0081,0.0081
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0081
0.0052,0.0087,0.0102,0.0081,0.0081
0.0052,0.0092,0.009,0.0082,0.0084
0.0052,0.0087,0.0084,0.0087,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0083,0.0081,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0051,0.0085,0.0084,0.0081,0.0082
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0051,0.0086,0.0084,0.0081,0.0082
0.0051,0.0086,0.0084,0.008,0.0082
0.0051,0.0086,0.0083,0.0081,0.0081
0.0051,0.0086,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0082,0.0083
0.0053,0.0088,0.0085,0.0082,0.0083
0.0052,0.0091,0.0093,0.0081,0.0081
0.0059,0.0094,0.0091,0.0088,0.0089
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0085,0.0082,0.0083
0.0051,0.0086,0.0084,0.0081,0.0082
0.0052,0.0087,0.0085,0.0083,0.0082
0.0052,0.0087,0.0084,0.0081,0.0081
0.0052,0.0086,0.0088,0.0089,0.0086
0.0058,0.0093,0.0094,0.0087,0.0088
0.0053,0.0088,0.0086,0.0084,0.0084
0.0054,0.0089,0.0086,0.0083,0.0089
0.0053,0.0093,0.0091,0.0085,0.0082
0.0053,0.0088,0.0086,0.0083,0.0083
0.0051,0.0085,0.0085,0.008,0.0081
0.0051,0.0085,0.0083,0.008,0.0082
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0084,0.0082,0.0082
0.0053,0.0088,0.0085,0.0082,0.0083
0.0053,0.0087,0.0085,0.0082,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0081
0.0051,0.0087,0.0084,0.008,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0086,0.0084,0.0081,0.0082
0.0056,0.0101,0.0093,0.0091,0.0087
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0081
0.0054,0.0089,0.0086,0.0084,0.0095
0.0068,0.0105,0.01,0.0106,0.0098
0.0053,0.0088,0.0092,0.0088,0.0083
0.0055,0.0092,0.0087,0.0094,0.0097
0.0062,0.0104,0.0094,0.0091,0.0092
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0086,0.0084,0.0081,0.0081
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0096,0.0084,0.0088,0.0095
0.0052,0.0086,0.0084,0.0081,0.0082
0.0054,0.0094,0.0088,0.0084,0.0087
0.0053,0.0087,0.0085,0.0083,0.0083
0.0052,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.0085,0.0083,0.0082
0.0051,0.0086,0.0084,0.0081,0.0081
0.0052,0.0086,0.009,0.0081,0.0081
0.0051,0.0086,0.0085,0.008,0.0082
0.0052,0.0087,0.0085,0.0081,0.0082
0.0052,0.0087,0.0085,0.0082,0.0083
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0088,0.0085,0.0082,0.0083
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0088,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0083,0.0082
0.0052,0.0087,0.0085,0.0082,0.0082
0.0052,0.0087,0.0085,0.0082,0.0083
0.0052,0.0087,0.0085,0.0082,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0086,0.0085,0.0082,0.0083
0.0052,0.0086,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0087,0.0085,0.0082,0.0082
0.0052,0.0087,0.0085,0.0082,0.0082
0.0052,0.0087,0.0085,0.0082,0.0083
0.0053,0.0088,0.0085,0.0083,0.0083
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0086,0.0084,0.0081,0.0082
0.0051,0.0087,0.0084,0.0081,0.0081
0.0056,0.01,0.0089,0.0086,0.0089
0.0053,0.0093,0.0095,0.0083,0.0083
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0081,0.0081
0.0052,0.0087,0.0085,0.0081,0.0085
0.0054,0.0094,0.0089,0.0084,0.0087
0.0055,0.0099,0.0087,0.0088,0.0093
0.0052,0.0087,0.0084,0.0082,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0095,0.0096,0.0089,0.0082
0.0052,0.0087,0.0084,0.0081,0.0081
0.0052,0.0087,0.0091,0.0086,0.0082
0.0059,0.0094,0.0091,0.0088,0.0091
0.0061,0.0097,0.0095,0.0092,0.0091
0.0052,0.0086,0.0085,0.0081,0.0082
0.0052,0.0086,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0087,0.0085,0.0082,0.0083
0.0052,0.0087,0.0085,0.0082,0.0083
0.0052,0.0086,0.0092,0.0095,0.0093
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0086,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0087,0.0085,0.0082,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0086,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0051,0.0086,0.0084,0.0081,0.0081
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0086,0.0084,0.0081,0.0082
0.0053,0.0088,0.0085,0.0082,0.0083
0.0052,0.0087,0.0084,0.0082,0.0081
0.0052,0.0086,0.0084,0.0082,0.0082
0.0051,0.0087,0.0084,0.0082,0.0081
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0081
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0085,0.0082,0.0083
0.0052,0.0089,0.0085,0.0081,0.0083
0.0052,0.0088,0.0086,0.0086,0.0084
0.0059,0.0098,0.0091,0.009,0.0089
0.0056,0.009,0.0089,0.0085,0.009
0.0052,0.0088,0.0084,0.0081,0.0084
0.0052,0.0088,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0083
0.0052,0.0086,0.009,0.0095,0.0083
0.0051,0.0086,0.0084,0.008,0.0088
0.0054,0.0093,0.0086,0.0084,0.0086
0.0056,0.0091,0.0088,0.0084,0.0086
0.0064,0.0105,0.0097,0.0096,0.0093
0.0053,0.0089,0.0085,0.0082,0.0083
0.0052,0.0097,0.0095,0.0085,0.0082
0.007,0.0116,0.0102,0.0099,0.01
0.0052,0.0087,0.0084,0.0081,0.0081
0.0052,0.0086,0.0084,0.0082,0.0082
0.0052,0.0086,0.0084,0.0081,0.0083
0.0052,0.0087,0.0084,0.0081,0.0082
0.0053,0.0088,0.0085,0.0083,0.0083
0.0052,0.0088,0.0085,0.0082,0.0083
0.0053,0.0088,0.0085,0.0083,0.0083
0.0051,0.0086,0.0084,0.0081,0.0081
0.0051,0.0087,0.0083,0.0081,0.0081
0.0051,0.0086,0.0083,0.0081,0.0081
0.0051,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.0085,0.0082,0.0082
0.0053,0.0087,0.0085,0.0082,0.0082
0.0052,0.0087,0.0085,0.0082,0.0083
0.0052,0.0087,0.0085,0.0082,0.0082
0.0052,0.0087,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0051,0.0086,0.0084,0.0081,0.0082
0.0051,0.0086,0.0084,0.0081,0.0081
0.0065,0.0106,0.0101,0.0095,0.0098
0.0053,0.0088,0.0085,0.0082,0.0083
0.0052,0.0088,0.0085,0.0082,0.0082
0.0051,0.0086,0.0084,0.008,0.0081
0.0052,0.0087,0.0084,0.0081,0.0081
0.0053,0.0088,0.0085,0.0082,0.0083
0.0052,0.0086,0.0084,0.0082,0.0082
0.0052,0.0087,0.0085,0.0081,0.0082
0.0054,0.0101,0.0087,0.0086,0.0084
0.0054,0.0089,0.0087,0.0084,0.0086
0.0053,0.0089,0.0088,0.0082,0.0083
0.0052,0.0087,0.0084,0.0082,0.0081
0.0052,0.0087,0.0085,0.0081,0.0082
0.0052,0.0086,0.0084,0.0082,0.0082
0.0052,0.0087,0.0085,0.0081,0.0082
0.0052,0.0087,0.0085,0.0082,0.0083
0.0052,0.0087,0.0084,0.0081,0.0081
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0082,0.0081
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0082,0.0081
0.0052,0.0087,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0051,0.0087,0.0084,0.0081,0.0082
0.0051,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0051,0.0086,0.0084,0.0081,0.0082
0.0073,0.0122,0.0118,0.0116,0.0115
0.0073,0.0122,0.0118,0.0115,0.0115
0.0074,0.0122,0.0119,0.0117,0.0115
0.0073,0.0123,0.012,0.0115,0.0116
0.0076,0.0127,0.0123,0.0119,0.0122
0.0074,0.0124,0.0121,0.0115,0.0116
0.0074,0.0122,0.0121,0.0117,0.0117
0.0076,0.0126,0.0122,0.0118,0.0118
0.0075,0.0126,0.0122,0.0118,0.0118
0.0073,0.0122,0.0118,0.0116,0.0118
0.007,0.012,0.012,0.0114,0.0114
0.0075,0.0126,0.0122,0.0116,0.0118
0.0076,0.0126,0.0121,0.0119,0.0118
0.0074,0.0122,0.0123,0.0117,0.0118
0.0074,0.0123,0.0119,0.0116,0.0118
0.0073,0.0124,0.012,0.0114,0.0115
0.0076,0.0124,0.0122,0.0119,0.0117
0.0074,0.0124,0.012,0.0115,0.0117
0.0074,0.0124,0.0122,0.0117,0.0116
0.0051,0.0094,0.0096,0.0094,0.0093
0.0073,0.0124,0.0121,0.0114,0.0117
0.0073,0.0123,0.0121,0.0116,0.0118
0.0074,0.0123,0.0121,0.0118,0.0117
0.0075,0.0123,0.012,0.0118,0.0116
0.0076,0.0124,0.0123,0.0119,0.0119
0.0074,0.0123,0.0122,0.0117,0.0117
0.0072,0.0124,0.0119,0.0113,0.0116
0.0073,0.0125,0.0121,0.0117,0.0115
0.0071,0.0113,0.0117,0.0113,0.0114
0.0075,0.0124,0.0122,0.0118,0.0118
0.0073,0.0123,0.0121,0.0116,0.0115
0.0076,0.0124,0.0123,0.0119,0.012
0.0075,0.0126,0.0122,0.0117,0.0118
0.0078,0.0127,0.0123,0.0122,0.0119
0.0074,0.0123,0.0122,0.0118,0.0118
0.0073,0.0123,0.0121,0.0114,0.0117
0.0075,0.0126,0.0122,0.0118,0.012
0.0071,0.0106,0.0104,0.0101,0.0101
0.0052,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.0085,0.0082,0.0082
0.0052,0.0087,0.0084,0.0082,0.0082
0.0051,0.0087,0.0084,0.0081,0.0082
0.0053,0.0088,0.0085,0.0083,0.0083
0.0052,0.0087,0.0084,0.0082,0.0082
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0088,0.0084,0.0085,0.0087
0.0053,0.0088,0.0086,0.0083,0.0083
0.0052,0.0086,0.0084,0.0082,0.0082
0.0059,0.0093,0.0091,0.0088,0.0088
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0082,0.0083
0.0052,0.0087,0.0084,0.0083,0.0082
0.0052,0.0087,0.0085,0.0083,0.0082
0.0052,0.0088,0.0084,0.0081,0.0081
0.0052,0.0089,0.0084,0.0081,0.0082
0.0051,0.0104,0.0089,0.0081,0.0082
0.0071,0.0108,0.0107,0.0101,0.0105
0.0055,0.0089,0.0087,0.0085,0.0085
0.0051,0.0086,0.0083,0.0082,0.0081
0.0051,0.0086,0.0083,0.0081,0.0081
0.0051,0.0087,0.0084,0.0081,0.0085
0.0056,0.0092,0.0088,0.0085,0.0086
0.0051,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0082
0.0051,0.0086,0.0089,0.0081,0.0081
0.0052,0.0088,0.0085,0.0082,0.0082
0.0052,0.0086,0.0085,0.0082,0.0082
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0086,0.0083,0.0081,0.0081
0.0052,0.0087,0.0085,0.0083,0.0082
0.0052,0.0087,0.0083,0.0082,0.0081
0.0052,0.0086,0.0085,0.0082,0.0093
0.0055,0.009,0.0088,0.0086,0.0085
0.0064,0.0099,0.0111,0.0102,0.0093
0.0055,0.0094,0.0088,0.0084,0.0084
0.0051,0.0086,0.0083,0.008,0.0081
0.0051,0.0086,0.0083,0.008,0.0081
0.0052,0.0086,0.0083,0.0087,0.0081
0.0052,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.009,0.0081,0.0082
0.0052,0.0087,0.0084,0.0081,0.0083
0.0051,0.0086,0.0084,0.0081,0.0081
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0086,0.0085,0.0082,0.0082
0.006,0.0106,0.0096,0.009,0.009
0.0053,0.0088,0.0086,0.0082,0.0084
0.0052,0.0086,0.0085,0.0081,0.0081
0.0051,0.0086,0.0083,0.0081,0.0081
0.0052,0.0086,0.0084,0.0081,0.0082
0.0052,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0082
0.0052,0.0086,0.0085,0.0081,0.0082
0.0051,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0082,0.0082
0.0052,0.0087,0.0084,0.0084,0.0082
0.0052,0.0086,0.0084,0.0081,0.0081
0.0052,0.0087,0.0084,0.0081,0.0081
0.0051,0.0086,0.0083,0.0083,0.0081
0.0072,0.0119,0.0115,0.0113,0.0112
0.0073,0.0122,0.0117,0.0113,0.0114
0.0069,0.0117,0.0111,0.0109,0.0108
0.0072,0.0118,0.0115,0.0111,0.0111
0.0073,0.0121,0.0116,0.0114,0.0113
0.007,0.0118,0.0115,0.0113,0.0112
0.0071,0.0121,0.0116,0.011,0.0111
0.0072,0.0118,0.0117,0.0112,0.0114
0.007,0.0117,0.0116,0.0111,0.0112
0.0072,0.0121,0.0117,0.0112,0.0113
0.0071,0.0118,0.0116,0.0113,0.0112
0.007,0.012,0.0114,0.011,0.011
0.0073,0.0121,0.0117,0.0115,0.0113
0.0071,0.0118,0.0115,0.0113,0.0112
0.007,0.0117,0.0115,0.011,0.0109
0.0072,0.0121,0.0115,0.0111,0.0113
0.0069,0.0117,0.0114,0.011,0.0111
0.0069,0.0119,0.0114,0.0108,0.0112
0.0073,0.012,0.0116,0.0113,0.0115
0.0071,0.012,0.0115,0.0112,0.011
0.0074,0.0121,0.0118,0.0114,0.0115
0.007,0.0104,0.0114,0.0112,0.0112
0.007,0.0119,0.0114,0.0111,0.011
0.0072,0.0118,0.0117,0.0111,0.0113
0.0069,0.0117,0.0115,0.011,0.0111
0.0069,0.0118,0.0114,0.0108,0.0111
0.0073,0.0119,0.0117,0.0114,0.0115
0.007,0.0118,0.0115,0.0111,0.0111
0.0074,0.0122,0.0117,0.0115,0.0114
0.007,0.0118,0.0115,0.0112,0.0111
0.0071,0.012,0.0115,0.0111,0.011
0.0073,0.0122,0.0116,0.0113,0.0114
0.0071,0.0119,0.0117,0.0113,0.0113
0.007,0.0119,0.0115,0.011,0.011
0.0071,0.0117,0.0116,0.0111,0.0114
0.0071,0.012,0.0115,0.0111,0.0112
0.0073,0.0121,0.0117,0.0115,0.0113
0.0071,0.0118,0.0115,0.0112,0.0112
0.007,0.0118,0.0116,0.0111,0.011
0.0072,0.012,0.0119,0.0111,0.0114
0.0071,0.0104,0.0115,0.0112,0.0113
0.0071,0.012,0.0116,0.0112,0.0111
0.0073,0.0122,0.0119,0.0113,0.0114
0.0069,0.0117,0.0115,0.011,0.0111
0.0073,0.0121,0.0116,0.0113,0.0113
0.0073,0.012,0.0118,0.0115,0.0113
0.0071,0.0119,0.0115,0.011,0.0111
0.0071,0.0117,0.0116,0.0112,0.0113
0.0071,0.0119,0.0117,0.0112,0.0112
0.0072,0.012,0.0115,0.0114,0.0104
0.0073,0.012,0.0116,0.0113,0.0114
0.007,0.0116,0.0115,0.0109,0.0111
0.0069,0.0117,0.0114,0.0108,0.011
0.0081,0.0127,0.0128,0.0121,0.0122
0.0071,0.0118,0.0114,0.0112,0.0111
0.0071,0.0118,0.0115,0.0112,0.0111
0.0069,0.0116,0.0114,0.0109,0.0111
0.007,0.0118,0.0115,0.0109,0.011
0.007,0.0116,0.0113,0.0111,0.011
0.0069,0.0107,0.0109,0.0108,0.011
0.007,0.0116,0.0113,0.011,0.0109
0.007,0.0116,0.0113,0.0111,0.0109
0.0069,0.0118,0.0114,0.0108,0.011
0.0069,0.0116,0.0112,0.011,0.0108
0.007,0.0116,0.0113,0.0111,0.0109
0.0068,0.0114,0.0114,0.0108,0.011
0.0069,0.0116,0.0115,0.0109,0.0111
0.007,0.0118,0.0115,0.0109,0.011
0.0069,0.0116,0.0112,0.011,0.0109
0.0056,0.0102,0.0101,0.0095,0.0097
0.0069,0.0116,0.0112,0.011,0.0108
0.007,0.0118,0.0113,0.011,0.0111
0.0069,0.0117,0.0118,0.0109,0.0111
0.0072,0.012,0.0116,0.0111,0.0113
0.0072,0.0119,0.0116,0.0113,0.0114
0.007,0.0118,0.0115,0.0112,0.011
0.0072,0.012,0.0116,0.0114,0.0112
0.007,0.012,0.0117,0.0112,0.0112
0.0069,0.0119,0.0099,0.011,0.0109
0.0072,0.012,0.0115,0.0114,0.0112
0.007,0.0118,0.0115,0.0113,0.0112
0.0071,0.012,0.0116,0.0112,0.011
0.0073,0.0122,0.0117,0.0113,0.0114
0.0069,0.0117,0.0115,0.011,0.0111
0.0072,0.0121,0.0116,0.0112,0.0114
0.0072,0.012,0.0115,0.0114,0.0115
0.007,0.0119,0.0115,0.0112,0.0112
0.0072,0.012,0.0115,0.0114,0.0112
0.0072,0.0119,0.0115,0.0113,0.0114
0.007,0.012,0.0116,0.0111,0.011
0.0071,0.0119,0.0116,0.011,0.0114
0.0069,0.0116,0.0115,0.011,0.0112
0.0073,0.0122,0.0116,0.0115,0.0114
0.0071,0.0118,0.0115,0.0112,0.0112
0.007,0.0118,0.0115,0.0111,0.011
0.0072,0.0121,0.0117,0.0111,0.0113
0.0069,0.0117,0.0115,0.0109,0.0111
0.0072,0.012,0.0108,0.0113,0.0111
0.0074,0.0123,0.0119,0.0114,0.0115
0.0069,0.0116,0.0115,0.011,0.011
0.007,0.0119,0.0115,0.0109,0.0111
0.0072,0.0118,0.0115,0.0112,0.0114
0.007,0.0118,0.0115,0.0112,0.0111
0.0073,0.012,0.0115,0.0114,0.0113
0.007,0.0118,0.0115,0.0111,0.0111
0.0069,0.0118,0.0114,0.0109,0.0111
0.0072,0.0119,0.0116,0.0113,0.0114
0.007,0.0116,0.0117,0.0111,0.0112
0.0069,0.0117,0.0114,0.0108,0.0109
0.0072,0.012,0.0117,0.0111,0.0115
0.007,0.0118,0.0116,0.0111,0.0112
0.0073,0.0122,0.0116,0.0113,0.0114
0.0071,0.012,0.0116,0.0113,0.0112
0.0069,0.0119,0.0115,0.011,0.0109
0.0073,0.0119,0.0117,0.0113,0.0114
0.0072,0.0118,0.0117,0.0112,0.0112
0.007,0.0107,0.0113,0.0111,0.0111
0.0072,0.0126,0.0117,0.0113,0.0113
0.007,0.0116,0.0115,0.0109,0.0111
0.0069,0.0115,0.0112,0.0109,0.0108
0.0071,0.0118,0.0115,0.0114,0.0113
0.0069,0.0118,0.0114,0.0111,0.0109
0.0071,0.0116,0.0114,0.0111,0.011
0.0069,0.0116,0.0112,0.011,0.0112
0.0071,0.0117,0.0114,0.0111,0.0111
0.0069,0.0116,0.0113,0.011,0.0109
0.007,0.0116,0.0113,0.011,0.0109
0.007,0.0118,0.0113,0.011,0.0111
0.0069,0.0116,0.0114,0.0108,0.011
0.0071,0.012,0.0115,0.0113,0.0112
0.0071,0.0118,0.0116,0.0112,0.0112
0.0069,0.0115,0.0112,0.0109,0.0109
0.0069,0.0116,0.0113,0.011,0.0109
0.007,0.0116,0.0113,0.011,0.011
0.0069,0.0115,0.0112,0.011,0.0111
0.007,0.0119,0.0107,0.0107,0.0112
0.0069,0.0119,0.0115,0.0109,0.011
0.007,0.0118,0.0115,0.0109,0.0112
0.007,0.0116,0.0115,0.0109,0.0111
0.007,0.0117,0.0113,0.0112,0.0112
0.007,0.0116,0.0116,0.0109,0.0111
0.007,0.0116,0.0113,0.011,0.0109
0.007,0.0115,0.0112,0.011,0.011
0.0069,0.0117,0.0114,0.0109,0.011
0.0069,0.0117,0.0114,0.0111,0.011
0.0055,0.0087,0.0085,0.0082,0.0083
0.0052,0.0085,0.0083,0.008,0.0087
0.0064,0.0108,0.0094,0.0093,0.0095
0.0049,0.0083,0.0081,0.0077,0.0077
0.0049,0.0082,0.0079,0.0077,0.0077
0.0049,0.0082,0.008,0.0078,0.0077
0.0049,0.0082,0.008,0.0077,0.0077
0.0049,0.0082,0.0079,0.0076,0.0078
0.0049,0.0082,0.008,0.0077,0.0077
